Source,Target
1162352059556999168,@
707573011466031104,@
1285722866,@williamsruto
1285722866,@railaodinga
536076309,@
902519384253575168,@
1016559101390749696,@williamsruto
1016559101390749696,@railaodinga
1262257822886252544,@
2405066607,@mwalimu_amunga
2405066607,@sakajajohnson
34962084,@williamsruto
34962084,@railaodinga
954251091771908096,@mwalimu_amunga
954251091771908096,@sakajajohnson
924917498,@williamsruto
924917498,@railaodinga
1523523119289352192,@williamsruto
1523523119289352192,@railaodinga
1523523119289352192,@
1431629823525462016,@
1670683963,@
103802543,@williamsruto
103802543,@railaodinga
1210574636,@
103802543,@
1475159683367411712,@
4008191729,@
1563813548,@
1032962263819411456,@
3020280357,@williamsruto
386387195,@
43661074,@williamsruto
43661074,@williamsruto
43661074,@railaodinga
1530240160079691776,@oleitumbi
1009076134401728512,@
746217570156482560,@
1448748455766249472,@
1264649628298940416,@
937757417240064000,@williamsruto
937757417240064000,@railaodinga
1219304109054054400,@williamsruto
1219304109054054400,@railaodinga
2437004887,@
895651580099297280,@
1171338597502476288,@
2554635290,@
1168381022804828160,@
893078780943765504,@
4145432705,@williamsruto
68382599,@
838410058014801920,@williamsruto
838410058014801920,@railaodinga
2246570950,@sakajajohnson
1346303719,@williamsruto
1346303719,@railaodinga
999409407028088832,@williamsruto
1340883594496139264,@williamsruto
1340883594496139264,@railaodinga
202833828,@williamsruto
202833828,@railaodinga
1899680726,@williamsruto
1899680726,@railaodinga
583667925,@williamsruto
583667925,@railaodinga
1563813548,@williamsruto
1563813548,@railaodinga
255098080,@williamsruto
255098080,@railaodinga
1501498928306561024,@williamsruto
1501498928306561024,@railaodinga
472859663,@williamsruto
472859663,@railaodinga
472859663,@williamsruto
1519679280711716864,@williamsruto
1519679280711716864,@railaodinga
1245751784104230912,@williamsruto
1245751784104230912,@railaodinga
988307100,@williamsruto
1262257822886252544,@williamsruto
951478057,@williamsruto
951478057,@railaodinga
953297736924884992,@williamsruto
953297736924884992,@railaodinga
1210574636,@williamsruto
1210574636,@railaodinga
1501498928306561024,@williamsruto
707573011466031104,@williamsruto
707573011466031104,@railaodinga
1262257822886252544,@williamsruto
1262257822886252544,@railaodinga
1210574636,@williamsruto
1103586017406259200,@williamsruto
1103586017406259200,@williamsruto
1103586017406259200,@railaodinga
1378354093681479680,@williamsruto
1378354093681479680,@railaodinga
914628382222057472,@williamsruto
914628382222057472,@railaodinga
1090115402687045632,@williamsruto
1090115402687045632,@railaodinga
1336002016796172288,@williamsruto
336994489,@williamsruto
336994489,@railaodinga
3393558105,@williamsruto
3393558105,@railaodinga
833551003676979200,@williamsruto
833551003676979200,@railaodinga
2882803068,@williamsruto
2882803068,@railaodinga
1477593005418856448,@williamsruto
1280939030377611264,@williamsruto
1477593005418856448,@williamsruto
1477593005418856448,@railaodinga
836557643502272512,@williamsruto
836557643502272512,@railaodinga
152181438,@williamsruto
152181438,@railaodinga
996072396292546560,@williamsruto
2155644233,@williamsruto
2155644233,@railaodinga
949834867,@williamsruto
949834867,@railaodinga
15915563,@williamsruto
996072396292546560,@williamsruto
996072396292546560,@railaodinga
15915563,@williamsruto
15915563,@railaodinga
836557643502272512,@williamsruto
2413095144,@williamsruto
2413095144,@railaodinga
1172339870,@williamsruto
1440413993080737792,@williamsruto
1440413993080737792,@railaodinga
2964287212,@williamsruto
2964287212,@railaodinga
1280939030377611264,@williamsruto
1280939030377611264,@railaodinga
1110483536161792000,@williamsruto
1091292192,@williamsruto
1091292192,@railaodinga
1493088219990306816,@williamsruto
1493088219990306816,@railaodinga
1351467913367089152,@williamsruto
1351467913367089152,@railaodinga
3170166473,@williamsruto
3170166473,@railaodinga
1032962263819411456,@williamsruto
1032962263819411456,@williamsruto
1032962263819411456,@railaodinga
1162352059556999168,@williamsruto
1162352059556999168,@williamsruto
1162352059556999168,@railaodinga
904950292113969152,@williamsruto
904950292113969152,@williamsruto
904950292113969152,@railaodinga
1085444356054704128,@williamsruto
1085444356054704128,@railaodinga
3301475844,@williamsruto
3301475844,@railaodinga
1249246260,@williamsruto
1249246260,@railaodinga
