Id,Label,Sentiment,Account Type,Gender,Impact,Impressions,Total Monthly Visitors,Twitter Followers,Twitter Following,Twitter Tweets,Reach (new)
1239163862601142272,ObedMelly,neutral,individual,unknown,0.0,125,1414667000,125,72,354,0
4510747396,Mwash_phalic,neutral,individual,unknown,0.0,152,1414667000,152,694,391,0
606524167,Mr_JoeWaru,neutral,individual,male,0.0,758,1414667000,758,1250,8977,0
1500044171733831680,Kihoti001,neutral,individual,unknown,0.0,73,1414667000,73,210,824,0
1429963792646119424,Mwax021,neutral,individual,unknown,0.0,192,1414667000,192,256,4642,0
743802291099144192,mistah_morriz,neutral,individual,male,0.0,713,1414667000,713,1906,7218,0
216809777,JaphethArsenal,neutral,individual,unknown,0.0,117,1414667000,117,452,6321,0
1378354093681479680,Vinncott3,neutral,individual,unknown,0.0,174,1414667000,174,1108,3353,0
1422162942305443840,k_yovinne,neutral,individual,unknown,0.0,81,1414667000,81,514,2899,0
1529825510712176640,mau_maxwel,neutral,individual,unknown,0.0,55,1414667000,55,189,351,0
1155540297444708352,labattlabatt,neutral,individual,unknown,0.0,319,1414667000,319,282,5760,0
1530216656617844736,Pk53534395,neutral,individual,unknown,0.0,76,1414667000,76,311,1803,0
1505738867441377280,_jmcaleb,neutral,individual,unknown,0.0,527,1414667000,527,576,3070,0
2537234963,Dr_kimutal,neutral,individual,female,4.4,2458,1414667000,2458,2034,25018,1550
2610188270,arapweriEzra,neutral,individual,unknown,0.0,838,1414667000,838,1411,3139,0
3490655134,Paulmwaniki16,neutral,individual,unknown,0.0,923,1414667000,923,2558,2096,40
1490881328,WairimuAntony,neutral,individual,unknown,0.0,140,1414667000,140,157,1716,0
1237472273013055488,Meshpepelah,neutral,individual,unknown,0.0,549,1414667000,549,538,7985,0
1276996006987661312,KipKalyaNoah,neutral,individual,unknown,0.0,482,1414667000,482,933,4212,0
1397817737402068992,ezramalonn,neutral,individual,unknown,0.0,1398,1414667000,1398,4903,4981,614
924960490643689472,tumeiyo_richard,neutral,individual,male,0.0,340,1414667000,340,511,2093,0
1202358821227843584,PatoskyKp,neutral,individual,unknown,0.0,90,1414667000,90,1021,1415,0
1479370249631932416,ErickkChirchir2,positive,individual,male,0.0,1651,1414667000,1651,1159,8352,869
2929252750,wamahousee,neutral,individual,unknown,0.0,389,1414667000,389,358,8657,0
2782477946,kenedyshy,neutral,individual,unknown,0.0,166,1414667000,166,833,1946,0
218383839,karryjay,neutral,individual,male,18.9,4260,1414667000,4260,3478,266676,2671
1510791482734743552,Duncanm2017,positive,individual,male,0.0,360,1414667000,360,1300,2831,0
1433377437295992832,GideonBadiva,neutral,individual,male,0.0,205,1414667000,205,1501,4060,0
